エステ種別,都道府県,URL,店舗名,店舗住所,店舗電話番号,スタッフの人数,席数,有料か無料か,クーポンメニューの項目があるかどうかネイル,北海道,https://beauty.hotpepper.jp/kr/slnH000287463/?cstt=1,痩身専門エステ　Luxmi【ラクシュミー】,北海道札幌市中央区南１条西５丁目１－５　N・Calle(エヌカージェ)ビル７階B型 ,011-200-7880 ,総数8人(施術者（エステ）8人) ,総数5(ベッド5／完全個室5) ,有料,あり
ネイル,北海道,https://beauty.hotpepper.jp/kr/slnH000107002/?cstt=2,まつ毛パーマ パリジェンヌ マツエク ネイル SASSY,北海道札幌市中央区南２条西４丁目１２－７　P.A.S.S.E ２.４ビル　５Ｆ ,011-522-7447 ,総数8人(施術者（まつげ）6人／施術者（ネイル）2人) ,総数6(リクライニングチェア6／ネイル2) ,有料,あり
ネイル,北海道,https://beauty.hotpepper.jp/kr/slnH000449568/?cstt=3,痩身&小顔専門　スタイルラック,北海道札幌市中央区南２条西３丁目１３番地　ＰＡＲＡＤＥビル６Ｆ ,011-213-0765 ,総数9人(スタッフ9人) ,総数6(ベッド6) ,有料,あり
ネイル,北海道,https://beauty.hotpepper.jp/kr/slnH000354828/?cstt=4,ブラジリアンワックス&最新脱毛　LAULA PIE 大通店【ラウラピエ】,北海道札幌市中央区南３条西１丁目２－１　Ｋ３．１ビル　３Ｆ ,011-212-1340 ,総数5人(施術者（エステ）4人／スタッフ1人) ,総数4(ベッド4／完全個室4) ,有料,あり
ネイル,北海道,https://beauty.hotpepper.jp/kr/slnH000318433/?cstt=5,1st NAIL&eyelash 大通店,北海道札幌市中央区南３条西３丁目１１－２　N・Messeビル４F ,011-252-9718 ,総数10人(施術者（ネイル）6人／施術者（まつげ）4人) ,総数9(アイ3／ネイル6) ,有料,あり
ネイル,北海道,https://beauty.hotpepper.jp/kr/slnH000711553/?cstt=6,痩身＆骨格矯正専門　Verity【ヴェリティー】,北海道札幌市中央区南１条西５丁目１－７Ｎ・Ｖｉｅｎｔｏビル６F ,011-600-1869 ,総数5人 ,総数5 ,有料,あり
ネイル,北海道,https://beauty.hotpepper.jp/kr/slnH000453512/?cstt=7,ブラジリアンワックス/ピーリング　脱毛美容サロン1st【クリスティーナ取扱店】,北海道札幌市中央区南３条西３丁目１０－４三信ビル８F ,011-211-8258 ,総数5人(スタッフ5人) ,総数6(半個室6) ,有料,あり
ネイル,北海道,https://beauty.hotpepper.jp/kr/slnH000443329/?cstt=8,anew nail&eye【エニュ ネイルアンドアイ】,北海道札幌市中央区南１条西６丁目　第27桂和ビル３F ,011-210-7781 ,総数7人(施術者（ネイル）5人／施術者（まつげ）2人) ,総数9(ネイル5／アイ4) ,有料,あり
ネイル,北海道,https://beauty.hotpepper.jp/kr/slnH000152794/?cstt=9,EUPHORIA　【ユーフォリア】,北海道札幌市中央区北１条西４丁目　三甲大通公園ビル１Ｆ ,011-272-5112 ,総数10人(スタッフ10人) ,総数10(チェア5／リクライニングチェア5) ,有料,あり
ネイル,北海道,https://beauty.hotpepper.jp/kr/slnH000325844/?cstt=10,アイラッシュサロンDOLLY札幌店× KiKi Beauty Nail Salon大通店,北海道札幌市中央区南２条西４-１０-１ラージカントリービル８F ,011-251-6886 , ,総数6(リクライニングチェア6) ,有料,あり
ネイル,北海道,https://beauty.hotpepper.jp/kr/slnH000692179/?cstt=11,el.NAIL by1st【パラジェル導入店】,北海道札幌市中央区北２条西２丁目３１桂和北２条ビル　６Ｆ ,011-596-0008 ,総数8人(施術者（ネイル）8人) ,総数8(リクライニングチェア6／チェア2) ,有料,あり
